2018-07-18 18:34:18,848 DEBUG [LicenseManagerServiceImpl] Trying to initialize license for ServiceV
2018-07-18 18:34:18,848 DEBUG [LicenseManagerServiceImpl] No license found for ServiceV
2018-07-18 18:34:18,885 DEBUG [LicenseManagerServiceImpl] License host for ServiceV: CREATIVEWEBMATRIXSOLUTIONS
2018-07-18 18:34:19,984 INFO  [license] ReadyAPI 2.4.0 (build 814) started - System properties: {OS=Windows 10, User name=Barbara}
2018-07-18 18:34:26,280 DEBUG [LicenseManagerServiceImpl] Trying to initialize license for SoapUI
2018-07-18 18:34:26,284 DEBUG [LicenseManagerServiceImpl] No license found for SoapUI
2018-07-18 18:34:26,342 DEBUG [LicenseManagerServiceImpl] License host for SoapUI: CREATIVEWEBMATRIXSOLUTIONS
2018-07-18 18:34:26,709 DEBUG [LicenseManagerServiceImpl] Trying to initialize license for SoapUI
2018-07-18 18:34:26,731 DEBUG [LicenseManagerServiceImpl] No license found for SoapUI
2018-07-18 18:34:26,770 DEBUG [LicenseManagerServiceImpl] License host for SoapUI: CREATIVEWEBMATRIXSOLUTIONS
2018-07-18 18:34:27,170 DEBUG [LicenseManagerServiceImpl] Trying to initialize license for Secure
2018-07-18 18:34:27,171 DEBUG [LicenseManagerServiceImpl] No license found for Secure
2018-07-18 18:34:27,292 DEBUG [LicenseManagerServiceImpl] License host for Secure: CREATIVEWEBMATRIXSOLUTIONS
2018-07-18 18:34:27,602 DEBUG [LicenseManagerServiceImpl] Trying to initialize license for LoadUI
2018-07-18 18:34:27,603 DEBUG [LicenseManagerServiceImpl] No license found for LoadUI
2018-07-18 18:34:27,628 DEBUG [LicenseManagerServiceImpl] License host for LoadUI: CREATIVEWEBMATRIXSOLUTIONS
2018-07-18 18:34:27,926 DEBUG [LicenseManagerServiceImpl] Trying to initialize license for ServiceV
2018-07-18 18:34:27,927 DEBUG [LicenseManagerServiceImpl] No license found for ServiceV
2018-07-18 18:34:27,986 DEBUG [LicenseManagerServiceImpl] License host for ServiceV: CREATIVEWEBMATRIXSOLUTIONS
2018-07-18 18:35:12,607 DEBUG [LicenseManagerAction] Opening License Manager
2018-07-18 18:35:14,296 DEBUG [LicenseManagerView] License server accessible
2018-07-18 18:55:50,219 DEBUG [LicenseManagerAction] Opening License Manager
2018-07-18 18:55:50,252 DEBUG [LicenseManagerView] License server accessible
